Pickup_borough,Dropoff_borough,AvgTime,AvgTripFare,Pickup_Day
Queens,Queens,1457,46,Monday
Manhattan,Manhattan,284,6.75,Tuesday
Queens,Manhattan,1227,37.05,Sunday
Queens,Brooklyn,1465,45.58,Sunday
Queens,Manhattan,1640,57,Friday
Queens,Queens,716,18.6,Sunday
Queens,Bronx,1470,44,Sunday
Manhattan,Manhattan,340.83,7.42,Monday
Manhattan,Manhattan,699.17,12.33,Saturday
Brooklyn,Brooklyn,277,6,Monday
Queens,Manhattan,1179,36,Monday
Manhattan,Manhattan,714.45,10.4,Tuesday
Manhattan,Brooklyn,584,17,Tuesday
Manhattan,Manhattan,375,9,Sunday
Manhattan,Manhattan,462.5,7.5,Saturday
Queens,Brooklyn,1361,52,Tuesday
Brooklyn,Brooklyn,340,8,Monday
Queens,Queens,660,17,Monday
Manhattan,Manhattan,480.21,9.37,Tuesday
Manhattan,Queens,1787.5,42.5,Tuesday
Manhattan,Manhattan,340,7,Saturday
Manhattan,Brooklyn,1387,34,Saturday
Bronx,Bronx,210,24,Sunday
Manhattan,Manhattan,396.32,8.93,Sunday
Manhattan,Brooklyn,600,12.5,Sunday
Brooklyn,Brooklyn,145,5,Tuesday
Queens,Manhattan,1537,36,Tuesday
Manhattan,Brooklyn,1896,26,Thursday
Brooklyn,Queens,1081,21.5,Saturday
Manhattan,Manhattan,479,9.1,Monday
Manhattan,Queens,1159,10,Wednesday
Manhattan,Brooklyn,695,14,Monday
Manhattan,Manhattan,480.07,10.64,Sunday
Manhattan,Brooklyn,1132.39,23.07,Sunday
Manhattan,Queens,1189.74,34.24,Sunday
Manhattan,Staten Island,2340,69,Sunday
Manhattan,Bronx,1249.09,30.82,Sunday
Brooklyn,Brooklyn,480,9,Sunday
Manhattan,Manhattan,616.68,9.79,Thursday
Manhattan,Manhattan,496.43,9.29,Monday
Queens,Manhattan,808,57,Saturday
Brooklyn,Manhattan,976,18,Monday
Brooklyn,Manhattan,1125.71,22.38,Sunday
Brooklyn,Brooklyn,645,14.78,Sunday
Brooklyn,Queens,1280,35.83,Sunday
Manhattan,Manhattan,745.2,11.2,Thursday
Manhattan,Manhattan,188,6,Tuesday
Queens,Manhattan,940,25.33,Sunday
Queens,Queens,450,10,Sunday
Queens,Bronx,1620,59,Sunday
Queens,Manhattan,451.22,8.22,Monday
Manhattan,Queens,1898,39,Monday
Manhattan,Manhattan,391.33,8.33,Saturday
Manhattan,Brooklyn,650,13,Saturday
Manhattan,Manhattan,1245.5,34.5,Monday
