Pickup_borough,Dropoff_borough,Pickup_Day,Pickup_slot,PassengerDriverBrownie,TimeBrownie,FareBrownie
Queens,Queens,Monday,4,7.26,62,67
Manhattan,Manhattan,Tuesday,3,12.87,12,10
Queens,Manhattan,Sunday,1,13.2,52,54
Queens,Brooklyn,Sunday,1,16.17,63,66
Queens,Manhattan,Friday,4,7.26,70,83
Queens,Queens,Sunday,1,14.52,31,27
Queens,Bronx,Sunday,1,7.26,63,64
Manhattan,Manhattan,Monday,1,8.58,15,11
Manhattan,Manhattan,Saturday,3,12.21,30,18
Brooklyn,Brooklyn,Monday,2,7.26,12,9
Queens,Manhattan,Monday,3,7.26,50,52
Manhattan,Manhattan,Tuesday,2,13.2,31,15
Manhattan,Brooklyn,Tuesday,2,7.26,25,25
Manhattan,Manhattan,Sunday,4,14.52,16,13
Manhattan,Manhattan,Saturday,2,14.52,20,11
Queens,Brooklyn,Tuesday,4,14.52,58,75
Brooklyn,Brooklyn,Monday,1,7.26,15,12
Queens,Queens,Monday,2,7.26,28,25
Manhattan,Manhattan,Tuesday,1,10.56,21,14
Manhattan,Queens,Tuesday,1,10.89,76,62
Manhattan,Manhattan,Saturday,1,7.26,15,10
Manhattan,Brooklyn,Saturday,1,29.37,59,49
Bronx,Bronx,Sunday,1,18.48,9,35
Manhattan,Manhattan,Sunday,2,15.18,17,13
Manhattan,Brooklyn,Sunday,2,10.89,26,18
Brooklyn,Brooklyn,Tuesday,1,7.26,6,7
Queens,Manhattan,Tuesday,2,14.52,66,52
Manhattan,Brooklyn,Thursday,3,7.26,81,38
Brooklyn,Queens,Saturday,1,7.26,46,31
Manhattan,Manhattan,Monday,4,17.16,20,13
Manhattan,Queens,Wednesday,1,7.26,50,14
Manhattan,Brooklyn,Monday,4,7.26,30,20
Manhattan,Manhattan,Sunday,1,18.48,21,15
Manhattan,Brooklyn,Sunday,1,18.48,48,33
Manhattan,Queens,Sunday,1,18.15,51,50
Manhattan,Staten Island,Sunday,1,7.26,100,100
Manhattan,Bronx,Sunday,1,17.16,53,45
Brooklyn,Brooklyn,Sunday,2,14.52,21,13
Manhattan,Manhattan,Thursday,2,18.48,26,14
Manhattan,Manhattan,Monday,3,11.22,21,13
Queens,Manhattan,Saturday,1,7.26,35,83
Brooklyn,Manhattan,Monday,4,7.26,42,26
Brooklyn,Manhattan,Sunday,1,15.51,48,32
Brooklyn,Brooklyn,Sunday,1,12.54,28,21
Brooklyn,Queens,Sunday,1,9.9,55,52
Manhattan,Manhattan,Thursday,1,10.89,32,16
Manhattan,Manhattan,Tuesday,4,14.52,8,9
Queens,Manhattan,Sunday,2,7.26,40,37
Queens,Queens,Sunday,2,33,19,14
Queens,Bronx,Sunday,2,7.26,69,86
Manhattan,Manhattan,Monday,2,13.53,19,12
Manhattan,Queens,Monday,2,22.11,81,57
Manhattan,Manhattan,Saturday,4,9.9,17,12
Manhattan,Brooklyn,Saturday,4,22.11,28,19
Queens,Manhattan,Monday,4,10.89,53,50
